AMOUNT,APPTXNMOD,AUTH_CODE_AC,BANK_NAME_2H,CARD_TYPE_CT,DATE_TIME_DT,INVOICE_IN,LAST4CARDNO,MRCHNT_ID_MID,PMS_MODULE,PMS_NUMBER,PMS_SYSTEM_DT,RESP_CODE_RC,RETRIEVAL_REF_NUM_RRN,SERVICE_PROVIDER_2H,TERM_ID_TID,TRANSAC_TYPE,ZONE
375,377015529101111566,-,NQRD,QRD,2025-02-08,-,0000,BRC,PWB BOOKING,1008651137,2025-02-08,S,540585092779,Master,QRD,RECPT,8
2095,220183191457641220,-,NQRD,QRD,2025-02-08,-,0000,BRC,PWB BOOKING,2022263943,2025-02-08,S,540586996232,Master,QRD,RECPT,8
828,353857134685951350,-,NQRD,QRD,2025-02-10,-,0000,PBR,PWB BOOKING,1008656631,2025-02-10,S,540711955510,Master,QRD,RECPT,8
42839,938314042489204390,,NQRD,QRD,2025-02-10,,0000,BVC,MR,8000414970,2025-02-10,S,540712433208,-,QRD,RECPT,8
1026,372339771706033623,-,NQRD,QRD,2025-02-10,-,0000,PBR,PWB BOOKING,1008655584,2025-02-10,S,540712762381,Master,QRD,RECPT,8
326,690108260289315654,-,NQRD,QRD,2025-02-10,-,0000,INDB,PWB DELIVERY,9000418120,2025-02-10,S,540760761968,Master,QRD,RECPT,8
542,936899440781833731,,NQRD,QRD,2025-02-10,,0000,ST,LT BOOKING,3001197713,2025-02-10,S,540762318182,Master,QRD,RECPT,8
7,767720872365231909,-,NQRD,QRD,2025-02-10,-,0000,MMCT,PWB DELIVERY,9000418800,2025-02-10,S,540762573104,Master,QRD,RECPT,8
955,15334061429383861,-,NQRD,QRD,2025-02-10,-,0000,COR,PWB BOOKING,1008656298,2025-02-10,S,540763157706,Master,QRD,RECPT,8
71,992197451437980871,,NQRD,QRD,2025-02-11,,0000,JND,LT BOOKING,3001198713,2025-02-11,S,540818896636,Master,QRD,RECPT,8
521,651198333115202469,-,NQRD,QRD,2025-02-11,-,0000,BDTS,PWB BOOKING,2022279828,2025-02-11,S,540819413178,Master,QRD,RECPT,8
